学年学期,课程名称,课程代码,教学班代码,学分,绩点,成绩,成绩明细,是否为公选课
2024-2025学年第一学期,经济学,1100062B,1100062B--002,3.5,4,91,期末考试:86; 期中考试:96; 作业撰写:90; 期末报告:94,否
2024-2025学年第一学期,数据结构与算法,1110262B,1110262B--001,3,4,91,期末考试:86; 课堂测试:93.3; 作业撰写:98.6; 期末报告:95,否
2024-2025学年第一学期,中华民族精神,0500011M,0500011M--001,1.5,2.7,76,期末考试:100; 课堂测试:82; 提问及讨论:0,是
2024-2025学年第一学期,马克思主义基本原理,1200221B,1200221B--011,3,3.7,87,平时成绩:100; 期末考试:83; 课堂测试:88; 作业撰写:90; 课堂演讲:86,否
2024-2025学年第一学期,大学物理B（下）,1000191B,1000191B--001,2,4.3,97,期末考试:97; 课堂测试:100; 期中考试:91; 作业撰写:100,否
2024-2025学年第一学期,AutoCAD,1300015X,1300015X--001,1,4,92,期末考试:98; 课堂测试:76; 作业撰写:100,是
2023-2024学年第二学期,线性代数,1400071B,1400071B--008,2.5,3.7,88,期末考试:76; 课堂测试:100; 作业撰写:98; 期末报告:99,否
2023-2024学年第二学期,跨文化交际英语,1500331B,1500331B--005,2,3.7,88,试验/上机成绩:94; 平时成绩:88; 期末考试:84; 作业撰写:96; 口试:90,否
2023-2024学年第二学期,工程训练D,5300043B,5300043B--061,1,3.3,84,实际操作:84,否
2023-2024学年第二学期,大学生心理健康,5700011B,5700011B--008,2,4,90,平时成绩:95; 期末考试:82.5,否
2023-2024学年第二学期,大学物理B（上）,1000181B,1000181B--002,4,4,91,期末考试:88; 课堂测试:95; 期中考试:92; 作业撰写:95,否
2023-2024学年第二学期,中国近现代史纲要,1200211B,1200211B--008,3,3.7,89,平时成绩:86; 期末考试:91; 课堂测试:93; 作业撰写:86,否
2023-2024学年第二学期,形势与政策（2）,1201121B,1201121B--010,0.25,3.3,84,平时成绩:92; 课堂测试:78; 作业撰写:83,否
2023-2024学年第二学期,计算机视觉与深度学习,0500235X,0500235X--001,1,3.9,90,平时成绩:100; 课堂测试:80; 期末报告:95,是
2023-2024学年第二学期,管理认知实习,1119873B,1119873B--002,1,2,75,实习日记:中; 实习报告:中,否
2023-2024学年第二学期,企业经营模拟实训,1110083B,1110083B--002,2,4,90,试验/上机成绩:88; 实验分析报告:93,否
2023-2024学年第二学期,今天的日本,1400011M,1400011M--001,1.5,3.7,86,期末考试:78; 课堂测试:92; 提问及讨论:100,是
2023-2024学年第二学期,大学体育（2）,5100151B,5100151B--180,0.5,2,69,期末考试:45; 课堂测试:55; 实验预习:100; 实际操作:100,否
2023-2024学年第二学期,C/C++语言程序设计,0500101B,0500101B--008,3,4.3,95,期末考试:94; 课堂测试:90.8; 作业撰写:100; 实验分析报告:100,否
2023-2024学年第一学期,军事训练,5200023B,5200023B--009,2,3.7,86,期末考试:86,否
2023-2024学年第一学期,大学生劳动教育,5300011B,5300011B--005,1,3.7,85,平时成绩:100; 期末考试:94; 课堂测试:92; 作业撰写:93,否
2023-2024学年第一学期,工程图学C,0200051B,0200051B--001,3,4,91,平时成绩:98; 期末考试:85; 课堂测试:98; 期中考试:97,否
2023-2024学年第一学期,大学体育（1）,5100141B,5100141B--180,0.5,1,63,期末考试:45; 课堂测试:23; 实验预习:100; 实际操作:100,否
2023-2024学年第一学期,思想道德与法治,1200201B,1200201B--001,3,3.7,88,平时成绩:63.4; 期末考试:92; 课堂演讲:94; 设计报告:93,否
2023-2024学年第一学期,形势与政策（1）,1201111B,1201111B--007,0.25,2.7,76,平时成绩:58; 课堂测试:82; 作业撰写:85,否
2023-2024学年第一学期,军事理论,5700021B,5700021B--005,2,4,91,平时成绩:95; 期末考试:93; 课堂测试:87; 期中考试:91; 课堂演讲:88,否
2023-2024学年第一学期,信息管理与信息系统专业新生研讨课,1110292B,1110292B--001,1,3.7,85,平时成绩:90; 作业撰写:88; 期末报告:80,否
2023-2024学年第一学期,高等数学A（上）,1400211B,1400211B--001,6,4.3,96,期末考试:99; 课堂测试:92; 作业撰写:99; 其他:92,否
2023-2024学年第一学期,通用英语（3）,1500321B,1500321B--005,2,4,92,试验/上机成绩:96; 平时成绩:88; 期末考试:90; 作业撰写:97; 口试:95,否
